15
300 5000
115 103 2
48 13 4
207 64 3
63 127 7
49 214 2
131 214 2
295 22 3
46 244 2
159 230 1
17 217 4
132 273 2
157 87 5
272 194 2
182 218 5
71 117 7
211 298 1
136 163 5
127 110 6
165 84 4
36 146 1
266 40 3
208 194 7
39 265 5
226 289 4
32 127 4
198 56 7
34 281 6
35 232 2
163 112 1
60 77 2
177 270 4
160 166 2
254 256 3
195 153 2
290 28 4
102 295 6
207 274 3
271 4 6
188 68 6
279 63 4
297 88 6
246 244 1
287 228 4
264 201 5
289 99 6
65 208 7
2 263 3
145 176 1
236 246 2
240 199 4
95 152 1
277 7 4
55 250 3
108 49 6
228 8 3
286 284 1
72 119 6
154 172 3
72 187 2
138 62 1
136 210 1
292 260 3
167 268 5
281 66 6
188 134 2
122 197 2
250 17 4
55 166 2
246 294 3
282 194 1
69 162 3
150 295 1
185 300 7
49 61 1
86 7 2
274 255 5
89 26 3
73 173 4
257 136 1
166 54 2
42 289 6
75 293 6
107 236 5
99 234 7
233 15 2
58 11 1
232 123 1
292 163 3
294 167 5
267 70 3
64 87 3
235 137 1
40 212 5
92 54 5
35 227 2
99 233 6
119 149 2
128 293 3
188 223 5
225 246 6
218 277 2
294 22 3
95 147 2
148 44 4
14 76 1
67 3 5
39 264 5
114 287 2
97 69 1
113 183 4
30 285 6
7 200 1
80 258 6
167 257 5
194 31 6
287 155 7
208 187 3
46 153 1
222 105 5
145 124 5
16 165 6
81 158 4
76 251 5
4 244 3
192 220 1
161 134 2
82 255 6
62 84 3
51 96 4
35 258 6
39 199 4
34 299 1
268 261 4
143 30 1
99 132 7
46 298 3
71 15 5
133 23 4
36 95 2
114 224 1
197 182 1
7 179 3
122 238 4
24 128 4
115 35 7
26 122 2
73 20 2
90 152 1
254 285 5
32 109 2
32 266 5
189 29 1
209 215 3
273 81 1
140 16 6
191 195 2
265 224 4
247 128 4
17 81 4
217 192 6
21 205 2
258 143 2
25 68 7
242 22 2
255 177 6
140 103 3
108 58 5
157 56 6
167 295 6
193 116 4
215 114 6
259 8 4
165 2 7
283 94 2
50 249 7
40 130 1
223 3 3
111 284 1
162 238 5
133 24 2
215 33 4
266 9 4
61 300 6
154 92 3
236 73 7
291 157 2
5 293 6
191 190 4
138 58 2
235 200 4
188 55 3
82 199 4
119 25 4
166 21 1
51 253 3
252 54 5
223 60 6
44 251 7
159 262 6
101 74 5
250 143 6
292 199 7
91 299 5
231 214 1
89 73 1
216 39 1
81 51 1
105 209 3
276 2 5
9 244 7
25 111 5
81 31 7
7 218 3
74 234 7
132 15 4
23 254 1
69 52 2
36 113 4
114 39 3
26 32 6
252 177 5
11 294 4
176 249 1
142 99 4
34 56 3
8 29 3
206 187 7
235 275 3
195 11 5
243 248 3
84 292 3
138 12 3
172 69 6
87 73 7
233 222 7
267 261 5
299 105 1
158 192 4
80 19 5
253 163 2
225 185 3
120 45 2
199 253 2
158 281 4
251 224 4
219 222 6
108 258 6
102 126 4
74 284 4
291 289 6
103 116 6
269 145 1
208 241 2
139 220 5
281 134 7
163 264 5
109 86 3
150 185 7
8 216 3
54 189 2
14 289 7
232 87 5
80 259 3
218 233 6
76 61 7
120 290 2
131 2 2
57 28 7
45 41 7
140 270 6
268 144 6
94 220 6
215 120 3
120 264 5
59 276 4
136 177 6
120 192 3
62 209 2
142 263 6
193 207 2
280 204 5
100 154 7
2 30 6
140 291 7
80 117 7
128 84 1
78 251 2
52 209 5
148 263 7
200 134 7
169 97 5
91 277 6
32 283 1
95 92 7
23 161 1
197 91 4
118 175 5
183 71 3
70 200 7
226 141 1
236 36 2
268 19 3
229 235 6
271 130 2
208 91 2
69 213 2
34 132 1
226 29 4
106 100 7
3 296 5
197 77 1
255 235 4
99 240 6
33 109 7
20 195 6
199 204 7
176 215 3
56 175 6
70 157 7
175 6 6
94 95 2
150 283 2
28 40 3
24 287 5
220 296 3
202 130 1
1 65 1
134 112 7
161 256 3
83 217 4
265 270 2
243 215 1
114 148 2
161 260 5
4 192 1
278 110 6
286 58 7
269 122 6
141 180 2
24 224 3
149 158 5
288 2 1
72 3 5
119 12 6
150 283 5
245 13 1
101 158 2
265 262 3
195 34 5
219 72 2
256 244 4
226 219 6
123 248 7
64 14 4
109 164 4
252 270 3
19 199 1
27 60 2
68 75 6
137 149 5
265 190 5
209 199 3
87 293 4
130 279 4
114 163 5
265 57 6
5 194 2
226 220 7
192 94 5
170 138 1
202 178 5
159 96 7
203 178 5
213 234 2
20 299 6
72 286 2
189 239 1
198 277 6
3 164 7
7 260 1
78 126 1
106 273 2
292 45 6
152 277 2
171 247 6
3 39 7
290 276 2
62 21 6
134 294 5
154 122 1
237 60 4
215 300 7
73 208 2
293 46 7
297 63 6
125 31 2
32 202 6
227 113 4
110 214 3
91 289 7
150 29 3
261 191 4
69 112 7
221 43 1
71 250 3
184 280 1
226 3 3
97 31 1
84 234 1
268 267 3
42 142 6
167 258 2
16 219 7
167 90 7
62 171 7
190 235 7
91 180 1
285 60 4
71 194 1
100 220 1
240 245 2
99 192 3
58 99 1
98 134 6
221 56 2
188 216 1
94 218 6
154 219 6
144 168 1
281 62 7
13 258 3
154 93 7
5 184 3
199 9 7
22 276 6
50 245 6
193 235 1
169 131 1
96 159 5
277 271 5
266 101 3
178 182 1
276 294 1
144 170 3
210 120 7
89 185 7
51 251 3
2 36 3
208 67 7
165 284 6
164 82 4
87 237 3
101 170 1
281 88 6
243 98 6
58 53 4
135 47 6
173 261 6
46 6 4
234 226 7
139 192 2
192 28 1
208 99 3
247 287 4
262 260 2
280 176 3
184 189 6
288 214 7
176 93 2
31 45 4
120 211 4
300 50 2
186 63 5
254 200 4
55 3 7
52 46 1
37 217 2
300 14 4
227 24 2
149 218 3
32 241 3
8 5 7
207 65 5
161 82 5
283 294 7
13 189 2
66 233 3
170 20 4
286 85 6
227 111 7
128 299 3
213 46 3
231 176 4
186 167 6
138 151 7
145 274 2
26 139 3
155 234 1
104 159 4
73 115 7
238 39 6
15 271 1
194 105 3
7 26 5
190 283 2
2 159 7
233 195 1
97 233 3
184 199 6
26 147 6
192 74 2
142 14 5
264 121 7
70 186 1
133 140 5
123 49 7
253 229 7
256 237 3
292 77 6
230 106 6
142 48 3
234 168 1
265 32 5
103 163 4
16 187 3
286 295 7
93 110 7
270 190 3
289 113 5
42 1 4
246 266 3
180 38 1
95 249 7
132 127 2
243 210 7
152 278 2
229 193 1
253 208 5
141 23 2
183 179 1
33 193 1
145 65 3
127 72 6
195 138 6
61 100 3
29 171 2
39 26 4
269 267 2
281 215 7
161 93 1
252 145 3
251 19 3
6 125 6
105 92 7
242 231 2
188 146 4
198 116 6
25 263 3
269 157 5
89 175 7
240 18 2
243 107 5
154 86 6
94 87 5
299 21 5
174 277 6
2 88 1
10 198 4
62 225 7
41 40 1
177 32 3
68 232 4
93 68 2
37 77 5
196 187 2
122 150 3
237 247 2
66 48 1
251 186 5
271 293 1
29 242 6
129 86 4
12 272 5
196 62 6
128 122 5
71 144 1
295 285 7
92 93 4
252 184 6
120 57 2
66 230 3
226 238 6
208 119 3
155 89 2
50 191 5
24 38 6
253 125 2
258 27 3
297 57 1
41 243 3
155 232 1
56 167 6
273 51 2
101 72 6
280 281 7
4 106 4
253 159 5
6 255 2
231 291 2
288 27 2
296 108 1
46 7 3
192 209 6
19 226 6
220 243 4
269 12 1
161 16 7
37 215 1
274 177 1
281 119 3
6 13 3
92 193 5
237 178 2
49 284 1
31 247 7
36 143 2
8 111 4
71 201 1
45 290 1
277 46 5
283 161 5
136 181 7
54 293 2
169 241 4
213 193 2
254 148 2
13 139 3
254 68 6
32 109 3
79 5 6
85 180 4
8 229 2
269 242 2
207 155 7
280 275 7
204 292 7
298 233 1
288 149 7
12 15 4
120 246 2
278 222 6
290 278 3
137 149 1
118 173 2
225 245 2
168 227 4
26 11 4
24 270 4
64 263 3
253 76 7
61 191 1
114 199 3
256 299 6
123 206 7
273 55 2
54 267 6
9 113 3
24 102 3
80 50 2
227 43 4
5 218 5
231 165 4
277 103 5
93 200 1
116 128 5
21 277 6
100 36 6
158 251 6
224 48 3
285 62 7
115 201 7
39 121 4
171 296 4
141 262 1
109 150 5
72 36 2
232 114 1
192 253 6
37 124 4
76 266 6
108 92 6
3 194 5
107 149 1
30 188 7
71 178 3
175 24 7
295 128 5
164 138 3
45 205 5
278 297 1
157 54 3
281 206 6
139 153 2
21 101 3
138 175 7
170 191 3
248 72 4
115 216 6
95 154 7
28 176 4
294 10 6
247 274 5
284 128 5
5 85 2
79 237 3
297 91 1
246 242 3
80 45 3
53 46 3
137 188 2
200 273 2
154 251 1
105 124 2
208 275 3
111 298 4
291 67 1
274 193 2
75 107 4
206 150 5
170 268 7
159 152 2
298 142 4
232 233 5
221 125 1
39 222 1
108 20 6
120 173 6
133 276 4
299 69 4
206 96 3
289 134 5
192 54 2
104 95 6
114 192 2
89 209 5
83 35 4
146 144 4
1 18 4
19 223 5
44 8 5
257 54 2
14 80 1
89 220 2
211 284 4
73 266 7
250 153 2
248 228 1
117 16 6
110 7 4
238 58 5
162 163 2
100 105 2
170 115 5
44 87 7
19 127 5
161 140 1
44 31 1
189 231 5
281 149 4
288 223 4
290 189 6
109 157 1
13 253 7
82 94 7
179 108 2
113 96 4
80 180 2
279 190 6
183 199 4
145 183 2
91 90 3
163 177 3
224 190 4
212 166 4
185 158 2
226 85 4
250 290 6
70 180 3
68 93 2
300 56 2
131 101 3
239 157 4
285 237 5
80 91 1
24 194 2
208 39 6
185 28 3
82 185 3
288 166 7
1 59 6
115 296 5
65 158 5
172 46 1
63 183 2
51 112 5
224 63 1
191 22 4
183 34 1
68 46 4
4 14 6
47 138 1
165 253 6
45 233 3
160 63 6
8 91 7
293 11 1
199 180 4
68 80 1
182 275 3
160 9 7
264 260 6
165 113 6
266 159 3
129 247 4
291 192 1
211 135 4
282 71 3
239 209 4
27 11 2
166 126 7
171 79 1
268 227 5
7 25 5
221 71 5
185 205 3
9 83 7
13 261 7
138 103 3
174 172 7
79 259 1
56 209 7
84 100 2
240 1 3
283 159 1
135 224 6
269 255 2
22 93 4
54 252 3
59 259 2
42 169 2
11 198 3
8 223 6
252 102 2
221 148 3
235 150 5
5 221 7
114 79 4
104 201 7
256 238 4
102 261 2
244 9 4
206 167 5
27 110 6
227 233 3
225 242 6
292 13 2
257 224 2
186 11 3
2 35 4
247 138 1
8 13 1
94 111 6
116 103 7
131 60 6
218 146 6
218 46 6
2 253 3
69 244 5
195 22 6
291 45 6
231 274 7
235 117 2
258 278 6
287 106 6
228 29 1
219 194 7
152 57 4
23 213 5
57 220 3
296 120 2
118 280 5
98 66 3
213 131 6
29 53 7
92 21 4
83 25 4
288 78 7
197 16 2
50 93 3
44 194 1
149 283 1
177 280 7
227 41 7
180 150 7
258 165 3
180 20 2
58 111 7
118 215 2
192 168 2
37 182 3
65 225 3
262 242 4
258 34 2
23 219 6
175 146 2
12 33 5
95 209 1
270 25 5
231 221 3
219 77 5
86 244 7
268 25 3
22 199 3
275 259 3
43 10 1
259 212 1
158 19 5
162 267 4
19 71 6
91 272 6
150 10 4
234 210 4
168 213 3
149 293 2
213 222 5
32 221 1
299 1 5
274 267 3
160 152 4
170 197 1
122 68 1
44 235 1
134 165 1
111 179 5
3 53 5
143 281 4
187 44 6
12 245 5
43 16 2
11 173 3
273 165 3
179 184 3
259 9 3
260 107 4
260 89 6
46 277 4
193 216 4
30 91 4
248 58 1
1 267 7
297 218 2
134 43 5
226 199 5
277 204 3
13 84 1
142 297 2
216 64 2
66 288 7
31 273 2
170 131 5
70 50 5
186 200 1
172 292 4
46 240 7
268 130 5
26 201 1
225 77 1
77 41 3
202 113 1
79 300 7
118 290 6
268 83 1
17 33 6
225 42 6
60 30 6
141 32 3
169 218 7
211 90 6
90 161 2
137 146 3
8 111 7
185 50 6
253 131 2
298 250 3
116 26 5
149 35 1
132 67 2
167 280 7
57 271 4
60 169 5
203 265 1
273 89 3
233 86 6
268 19 4
106 43 2
179 198 2
290 230 5
23 300 5
298 226 7
219 135 5
236 235 3
189 68 7
35 100 2
296 100 3
284 220 2
110 217 2
151 195 7
114 36 7
32 5 3
107 67 3
10 160 7
284 35 5
262 240 4
297 117 7
30 137 4
214 192 6
175 83 5
69 34 5
109 184 5
223 6 7
240 108 5
207 49 1
44 121 7
143 126 5
144 17 5
114 127 1
266 234 5
207 91 7
215 99 6
27 255 2
136 145 1
100 156 3
220 125 4
286 191 3
162 247 4
204 232 7
164 296 5
293 6 4
53 257 7
156 294 3
110 69 7
40 291 7
10 142 4
174 139 6
177 259 4
268 100 6
7 291 1
292 211 4
190 189 3
74 67 6
111 66 6
240 14 4
96 268 2
23 73 3
96 135 7
4 7 4
111 219 3
164 208 7
129 298 4
176 195 3
136 14 7
231 178 3
248 239 3
293 106 1
208 207 5
59 272 5
154 111 7
89 202 5
193 197 3
34 22 3
82 103 4
113 262 6
141 33 5
190 250 4
140 129 3
126 64 7
184 229 4
219 181 1
146 254 6
202 45 1
198 135 1
84 197 5
48 253 1
208 198 7
32 39 1
164 2 1
127 209 4
8 103 3
181 19 1
86 275 7
152 276 3
103 60 7
53 144 4
90 270 4
155 179 2
48 59 1
31 150 4
43 40 6
166 1 1
136 297 1
184 178 6
271 176 4
92 228 3
188 140 1
273 126 7
115 63 7
270 169 4
264 265 1
64 230 6
70 19 7
136 93 7
19 200 6
189 196 3
75 283 6
282 207 3
279 170 5
153 43 5
128 50 3
243 36 5
98 6 5
119 244 7
223 41 7
47 269 4
277 7 7
125 100 2
13 196 4
279 162 2
285 139 5
23 278 6
247 90 1
41 114 1
151 161 7
91 136 4
239 7 7
295 99 3
15 239 1
124 197 5
259 219 7
67 80 5
53 223 1
162 44 1
51 245 1
88 216 4
185 147 3
237 60 4
90 148 1
282 223 1
89 222 5
239 235 4
63 237 1
67 134 3
114 66 1
169 111 6
236 212 1
160 6 4
30 47 5
234 132 2
251 241 1
61 267 2
82 270 4
262 7 1
16 291 3
191 72 2
177 30 6
255 222 4
217 158 2
110 190 3
26 89 1
248 97 6
201 92 6
112 156 1
91 94 7
23 277 5
13 255 1
9 10 5
211 163 6
52 183 3
44 223 1
132 166 4
134 37 6
129 250 4
31 95 7
266 214 4
55 160 7
159 45 4
179 115 3
238 294 3
133 279 4
5 102 7
46 226 7
150 62 4
192 263 5
104 132 7
108 65 2
180 52 7
40 64 7
7 207 3
45 124 1
152 41 2
168 82 6
88 256 1
134 275 1
122 234 5
90 300 2
189 74 1
298 168 2
296 169 5
54 199 2
291 193 1
173 225 3
251 102 2
1 238 3
186 210 1
205 15 6
221 42 7
299 274 6
215 137 6
252 176 6
93 265 7
187 43 7
13 231 2
176 107 3
177 99 3
214 23 4
117 80 5
16 236 4
245 156 1
105 78 5
222 20 6
243 131 2
70 245 1
105 16 7
241 133 1
94 41 7
136 275 2
279 173 2
283 28 6
68 41 2
46 221 4
251 232 5
255 57 5
117 198 6
152 89 4
20 31 7
234 212 2
268 200 7
74 221 4
43 17 3
167 44 7
284 128 3
152 52 4
10 11 7
258 190 7
228 259 2
128 264 6
177 68 6
238 46 1
97 133 3
166 123 6
219 144 6
168 231 1
156 117 4
52 173 1
225 229 4
281 165 3
98 232 2
118 76 3
203 141 1
177 282 6
140 249 1
187 59 6
8 217 3
230 266 1
99 212 3
131 87 4
147 116 7
51 108 2
206 277 2
242 5 3
114 283 4
126 227 1
230 47 6
151 14 4
221 281 3
132 213 3
113 258 6
66 129 2
52 158 2
282 179 4
40 258 5
33 189 3
57 95 2
287 136 1
27 113 5
255 206 2
40 292 7
91 134 3
106 51 4
54 166 5
26 153 5
291 163 3
178 225 6
244 163 5
120 25 1
231 281 7
132 7 2
107 86 1
242 84 5
183 118 5
58 36 4
53 235 5
296 132 2
131 294 5
38 28 5
285 114 5
259 257 5
141 84 3
298 182 5
2 143 1
248 208 3
159 147 6
267 99 6
93 105 5
99 85 5
116 119 4
277 103 1
246 198 3
91 113 1
2 161 2
33 195 1
130 125 1
156 89 5
208 29 2
112 213 7
16 140 2
32 66 4
5 167 4
20 227 7
4 73 7
287 149 6
49 196 3
248 200 7
71 5 5
215 291 1
62 154 1
44 11 4
223 184 5
35 249 3
66 120 6
86 132 7
251 239 3
140 1 4
262 219 3
268 215 3
76 278 1
145 292 3
50 71 6
299 184 2
118 297 3
64 228 4
113 70 2
255 38 1
166 206 3
169 106 6
15 202 2
239 121 6
220 193 1
89 283 7
198 84 6
131 22 4
99 221 6
89 48 5
237 98 2
289 101 5
46 255 2
198 106 4
63 224 4
94 95 5
33 78 2
137 291 1
23 226 6
105 242 5
109 142 3
88 300 4
2 149 1
281 113 7
159 155 7
165 245 1
78 296 5
179 110 2
224 245 2
92 229 1
244 245 4
270 200 6
100 203 3
134 190 1
262 224 3
5 116 6
77 23 2
292 58 3
74 186 1
79 82 1
38 53 4
181 32 4
211 173 1
95 28 3
137 211 2
49 117 6
172 10 4
57 297 6
188 76 2
82 237 6
69 240 6
108 227 5
300 77 4
287 1 1
33 111 2
185 238 5
266 209 5
7 128 3
30 245 4
104 61 2
169 295 7
203 146 6
98 242 2
267 203 6
147 298 2
270 202 5
180 150 7
300 49 7
205 5 2
57 9 1
13 188 7
112 101 1
179 205 1
36 19 7
228 151 4
251 47 6
74 171 6
8 71 2
203 231 2
130 300 4
257 117 5
265 270 2
65 296 1
211 195 1
152 242 3
222 289 7
93 229 3
65 197 3
78 173 1
158 18 6
123 129 7
185 47 4
98 86 1
105 162 5
128 75 1
201 140 3
29 161 7
48 84 4
242 53 4
121 175 2
58 172 4
124 97 2
260 73 2
189 187 4
294 211 4
97 218 1
117 223 6
227 264 6
65 73 4
63 18 3
211 180 4
250 16 7
152 294 4
167 294 6
126 9 5
43 109 2
241 251 1
110 199 6
33 27 6
48 227 7
43 93 4
300 241 7
65 62 5
137 154 3
9 299 1
205 67 6
145 136 4
182 282 4
29 265 4
204 63 5
249 210 1
233 206 4
90 111 6
121 284 7
111 133 4
45 124 1
228 85 3
54 249 1
255 232 3
29 270 5
110 282 5
166 151 5
219 231 1
33 127 6
132 6 2
276 75 5
256 17 5
107 232 4
21 224 3
241 207 5
281 219 1
222 100 6
79 251 7
80 148 1
52 62 1
116 154 3
86 141 1
97 295 6
22 216 2
235 224 4
185 194 3
186 119 5
225 223 6
269 243 1
104 140 3
88 264 5
86 188 5
188 248 3
99 24 7
194 295 1
59 141 4
240 233 6
291 239 5
179 209 5
45 59 5
31 105 1
203 205 2
70 148 7
161 238 5
49 252 4
84 160 6
25 185 1
218 278 7
201 292 3
111 63 5
38 138 7
35 132 3
193 110 2
127 131 5
64 229 2
206 1 4
65 72 1
216 168 1
55 149 7
72 198 3
299 242 5
84 282 3
123 245 4
149 4 3
79 45 6
299 283 3
105 179 1
40 26 7
132 29 2
274 273 2
108 58 1
233 296 4
201 232 7
249 20 5
125 184 1
294 115 2
237 52 7
41 1 2
285 83 1
275 180 6
171 188 5
154 140 1
65 279 7
295 144 4
129 81 6
279 95 3
61 223 7
291 65 7
116 155 7
131 268 7
101 282 2
48 275 7
11 215 3
172 90 6
237 8 6
173 8 1
277 286 5
144 252 1
193 62 6
283 12 5
2 39 3
96 212 1
23 177 3
291 286 1
212 12 4
25 279 4
165 146 4
134 10 4
133 159 6
158 174 3
19 192 5
207 177 5
51 279 5
127 44 1
289 262 7
188 298 2
181 206 4
43 55 5
85 184 7
274 131 1
43 120 1
144 204 5
23 101 4
96 288 2
69 125 6
120 5 3
192 71 2
143 6 3
33 158 3
123 254 2
129 240 3
221 234 4
210 230 4
141 10 6
197 233 4
220 165 4
179 119 3
187 139 2
218 197 2
205 254 5
189 147 4
61 191 7
71 20 3
269 235 6
14 201 6
218 81 2
164 148 1
77 95 7
206 195 5
95 102 4
219 208 5
223 144 7
215 258 1
233 243 5
176 260 1
8 267 4
146 48 7
191 284 4
120 179 1
299 255 6
159 231 5
281 93 6
181 256 2
215 48 6
139 188 4
154 161 5
147 124 4
70 122 2
202 92 5
210 300 7
153 39 2
265 49 4
242 85 6
298 88 2
70 21 4
104 220 1
194 247 3
205 124 1
84 294 1
287 178 7
78 142 5
244 161 7
160 134 6
71 229 7
159 207 6
78 62 4
276 21 2
212 131 7
75 35 4
133 161 6
297 286 3
14 61 4
108 273 4
134 289 1
144 234 4
87 63 5
122 217 5
85 228 3
39 299 4
267 126 1
296 23 5
260 183 7
182 179 2
223 213 6
293 199 3
137 113 2
139 284 3
119 5 7
55 53 4
22 212 1
130 40 7
47 122 5
237 192 3
175 276 6
67 60 5
282 97 6
98 294 3
51 298 2
244 183 5
185 127 1
29 98 1
178 21 3
86 101 2
103 291 7
139 225 7
167 291 2
249 262 7
92 243 4
139 222 2
287 162 3
42 11 2
251 172 7
273 230 4
263 44 3
175 59 4
197 255 4
210 231 4
58 158 1
119 5 4
184 282 7
280 72 7
88 70 6
269 133 6
110 20 4
300 61 3
214 108 6
39 102 3
145 100 3
199 26 6
161 33 2
188 300 5
214 245 7
8 107 3
113 252 3
